date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-01-15,2025-07-22 20:00:47,KT,삼성,번호이동,LTE,갤럭시 Z Fold5,LTE 음성 12.1,12100,1897500,55000,0,55000,1842500
2025-01-15,2025-07-22 20:00:50,KT,삼성,번호이동,LTE,갤럭시 Z Flip5 512GB,LTE 음성 12.1,12100,1421200,55000,0,55000,1366200
2025-01-15,2025-07-22 20:00:50,KT,삼성,번호이동,LTE,갤럭시 Z Flip5,LTE 음성 12.1,12100,1300200,55000,0,55000,1245200
2025-01-08,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 13 128G,LTE 음성 12.1,12100,748000,55000,0,55000,693000
2024-12-27,2025-07-22 20:00:50,KT,기타,번호이동,LTE,포차코 키즈폰,LTE 음성 12.1,12100,349800,8000,0,8000,341800
2024-11-20,2025-07-22 20:00:50,KT,기타,번호이동,LTE,모토로라 엣지 50 퓨전,LTE 음성 12.1,12100,349800,55000,0,55000,294800
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro 1T,LTE 음성 12.1,12100,2079000,55000,0,55000,2024000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro 512G,LTE 음성 12.1,12100,1771000,55000,0,55000,1716000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro 256G,LTE 음성 12.1,12100,1474000,55000,0,55000,1419000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro 128G,LTE 음성 12.1,12100,1320000,55000,0,55000,1265000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro Max 1T,LTE 음성 12.1,12100,2277000,55000,0,55000,2222000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro Max 512G,LTE 음성 12.1,12100,1980000,55000,0,55000,1925000
2024-11-01,2025-07-22 20:00:50,KT,애플,번호이동,LTE,iPhone 15 Pro Max 256G,LTE 음성 12.1,12100,1672000,55000,0,55000,1617000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 512G,LTE 음성 12.1,12100,1474000,55000,0,55000,1419000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 256G,LTE 음성 12.1,12100,1177000,55000,0,55000,1122000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 128G,LTE 음성 12.1,12100,1023000,55000,0,55000,968000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 Plus 512G,LTE 음성 12.1,12100,1573000,55000,0,55000,1518000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 Plus 256G,LTE 음성 12.1,12100,1276000,55000,0,55000,1221000
2024-11-01,2025-07-22 20:00:53,KT,애플,번호이동,LTE,iPhone 15 Plus 128G,LTE 음성 12.1,12100,1122000,55000,0,55000,1067000
2024-10-25,2025-07-22 20:00:53,KT,삼성,번호이동,LTE,갤럭시 Z Flip6 512GB,LTE 음성 12.1,12100,1643400,55000,0,55000,1588400
2024-10-25,2025-07-22 20:00:53,KT,삼성,번호이동,LTE,갤럭시 Z Flip6,LTE 음성 12.1,12100,1485000,55000,0,55000,1430000
2024-10-25,2025-07-22 20:00:53,KT,삼성,번호이동,LTE,갤럭시 Z Flip6 마루는강쥐 에디션,LTE 음성 12.1,12100,1507000,55000,0,55000,1452000
2024-10-18,2025-07-22 20:00:53,KT,샤오미,번호이동,LTE,샤오미 레드미 14C,LTE 음성 12.1,12100,199100,55000,0,55000,144100
2024-10-15,2025-07-22 20:00:53,KT,기타,번호이동,LTE,시나모롤 키즈폰,LTE 음성 12.1,12100,320100,30000,0,30000,290100
2024-08-08,2025-07-22 20:00:53,KT,삼성,번호이동,LTE,갤럭시 Z Fold6 1TB,LTE 음성 12.1,12100,2704900,55000,0,55000,2649900
2024-08-08,2025-07-22 20:00:57,KT,삼성,번호이동,LTE,갤럭시 Z Fold6 512GB,LTE 음성 12.1,12100,2388100,55000,0,55000,2333100
2024-08-08,2025-07-22 20:00:57,KT,삼성,번호이동,LTE,갤럭시 Z Fold6,LTE 음성 12.1,12100,2229700,55000,0,55000,2174700
2024-08-08,2025-07-22 20:00:57,KT,삼성,번호이동,LTE,갤럭시 Jump3,LTE 음성 12.1,12100,438900,1000,0,1000,437900
2024-07-01,2025-07-22 20:00:57,KT,샤오미,번호이동,LTE,샤오미 레드미노트 12,LTE 음성 12.1,12100,249700,55000,0,55000,194700
2024-06-21,2025-07-22 20:00:57,KT,샤오미,번호이동,LTE,샤오미 레드미노트 13 Pro 5G,LTE 음성 12.1,12100,349800,8000,0,8000,341800
2024-06-21,2025-07-22 20:00:57,KT,샤오미,번호이동,LTE,샤오미 레드미노트 13 Pro 5G 512GB,LTE 음성 12.1,12100,399300,8000,0,8000,391300
2022-12-09,2025-07-22 20:00:57,KT,기타,번호이동,LTE,스타일 폴더,LTE 음성 12.1,12100,237600,39000,0,39000,198600
2025-07-22,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Flip7 512GB,LTE 음성 12.1,12100,1643400,55000,0,55000,1588400
2025-07-22,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Flip7 256GB,LTE 음성 12.1,12100,1485000,55000,0,55000,1430000
2025-07-16,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Flip7 FE 256GB,LTE 음성 12.1,12100,1199000,8000,0,8000,1191000
2025-07-15,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Fold7 1TB,LTE 음성 12.1,12100,2933700,55000,0,55000,2878700
2025-07-15,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Fold7 512GB,LTE 음성 12.1,12100,2537700,55000,0,55000,2482700
2025-07-15,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Z Fold7 256GB,LTE 음성 12.1,12100,2379300,55000,0,55000,2324300
2025-07-02,2025-07-22 20:02:06,KT,기타,기기변경,LTE,맘편안폰S 128GB,LTE 음성 12.1,12100,499400,55000,0,55000,444400
2025-06-26,2025-07-22 20:02:06,KT,샤오미,기기변경,LTE,샤오미 14T 256GB,LTE 음성 12.1,12100,599500,50000,0,50000,549500
2025-06-26,2025-07-22 20:02:06,KT,샤오미,기기변경,LTE,레드미노트 14 256GB,LTE 음성 12.1,12100,319000,50000,0,50000,269000
2025-06-25,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 Jump4 128GB,LTE 음성 12.1,12100,449900,55000,0,55000,394900
2025-06-21,2025-07-22 20:02:06,KT,기타,기기변경,LTE,맘편안폰3,LTE 음성 12.1,12100,499400,55000,0,55000,444400
2025-06-21,2025-07-22 20:02:06,KT,삼성,기기변경,LTE,갤럭시 A35 5G,LTE 음성 12.1,12100,499400,55000,0,55000,444400
2025-06-21,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 A25 5G,LTE 음성 12.1,12100,449900,55000,0,55000,394900
2025-06-21,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 A15,LTE 음성 12.1,12100,319000,8000,0,8000,311000
2025-06-12,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 A36 5G 128GB,LTE 음성 12.1,12100,499400,55000,0,55000,444400
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 Ultra 1TB,LTE 음성 12.1,12100,2127400,55000,0,55000,2072400
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 Ultra 512GB,LTE 음성 12.1,12100,1841400,55000,0,55000,1786400
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 Ultra 256GB,LTE 음성 12.1,12100,1698400,55000,0,55000,1643400
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25+ 512GB,LTE 음성 12.1,12100,1496000,55000,0,55000,1441000
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25+ 256GB,LTE 음성 12.1,12100,1353000,55000,0,55000,1298000
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 512GB,LTE 음성 12.1,12100,1298000,55000,0,55000,1243000
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 256GB,LTE 음성 12.1,12100,1155000,55000,0,55000,1100000
2025-06-10,2025-07-22 20:02:10,KT,삼성,기기변경,LTE,갤럭시 S25 크록스 토이스토리 에디션 256GB,LTE 음성 12.1,12100,1177000,55000,0,55000,1122000
2025-06-10,2025-07-22 20:02:10,KT,애플,기기변경,LTE,iPhone 16 Pro Max 1TB,LTE 음성 12.1,12100,2497000,55000,0,55000,2442000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro Max 512GB,LTE 음성 12.1,12100,2200000,55000,0,55000,2145000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro Max 256GB,LTE 음성 12.1,12100,1892000,55000,0,55000,1837000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro 1TB,LTE 음성 12.1,12100,2299000,55000,0,55000,2244000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro 512GB,LTE 음성 12.1,12100,1991000,55000,0,55000,1936000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro 256GB,LTE 음성 12.1,12100,1694000,55000,0,55000,1639000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Pro 128GB,LTE 음성 12.1,12100,1540000,55000,0,55000,1485000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Plus 512GB,LTE 음성 12.1,12100,1793000,55000,0,55000,1738000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Plus 256GB,LTE 음성 12.1,12100,1496000,55000,0,55000,1441000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 Plus 128GB,LTE 음성 12.1,12100,1342000,55000,0,55000,1287000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 512GB,LTE 음성 12.1,12100,1694000,55000,0,55000,1639000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 256GB,LTE 음성 12.1,12100,1397000,55000,0,55000,1342000
2025-06-10,2025-07-22 20:02:13,KT,애플,기기변경,LTE,iPhone 16 128GB,LTE 음성 12.1,12100,1243000,55000,0,55000,1188000
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24 Ultra 512GB,LTE 음성 12.1,12100,1841400,55000,0,55000,1786400
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24+ 512GB,LTE 음성 12.1,12100,1496000,55000,0,55000,1441000
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24 512GB,LTE 음성 12.1,12100,1298000,55000,0,55000,1243000
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24 Ultra,LTE 음성 12.1,12100,1698400,55000,0,55000,1643400
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24+,LTE 음성 12.1,12100,1353000,55000,0,55000,1298000
2025-06-10,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24,LTE 음성 12.1,12100,1155000,55000,0,55000,1100000
2025-06-05,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S25 엣지 512GB,LTE 음성 12.1,12100,1639000,55000,0,55000,1584000
2025-06-05,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S25 엣지 256GB,LTE 음성 12.1,12100,1496000,55000,0,55000,1441000
2025-05-14,2025-07-22 20:02:16,KT,애플,기기변경,LTE,iPhone 16e 512GB,LTE 음성 12.1,12100,1430000,8000,0,8000,1422000
2025-05-14,2025-07-22 20:02:16,KT,애플,기기변경,LTE,iPhone 16e 256GB,LTE 음성 12.1,12100,1133000,8000,0,8000,1125000
2025-05-14,2025-07-22 20:02:16,KT,애플,기기변경,LTE,iPhone 16e 128GB,LTE 음성 12.1,12100,990000,8000,0,8000,982000
2025-05-14,2025-07-22 20:02:16,KT,삼성,기기변경,LTE,갤럭시 S24 FE,LTE 음성 12.1,12100,946000,55000,0,55000,891000
2025-05-14,2025-07-22 20:02:19,KT,삼성,기기변경,LTE,갤럭시 A16,LTE 음성 12.1,12100,319000,8000,0,8000,311000
2025-03-25,2025-07-22 20:02:19,KT,기타,기기변경,LTE,moto g34 5G 128GB,LTE 음성 12.1,12100,211200,55000,0,55000,156200
2025-03-25,2025-07-22 20:02:19,KT,기타,기기변경,LTE,클래식 폴더 64GB,LTE 음성 12.1,12100,205700,8000,0,8000,197700
2025-03-21,2025-07-22 20:02:19,KT,삼성,기기변경,LTE,갤럭시 S23 Ultra,LTE 음성 12.1,12100,1599400,55000,0,55000,1544400
2025-03-21,2025-07-22 20:02:19,KT,삼성,기기변경,LTE,갤럭시 S23+,LTE 음성 12.1,12100,1353000,55000,0,55000,1298000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro 1T,LTE 음성 12.1,12100,1969000,55000,0,55000,1914000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro 512G,LTE 음성 12.1,12100,1661000,55000,0,55000,1606000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro 256G,LTE 음성 12.1,12100,1364000,55000,0,55000,1309000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro 128G,LTE 음성 12.1,12100,1210000,55000,0,55000,1155000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro Max 1T,LTE 음성 12.1,12100,2167000,55000,0,55000,2112000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro Max 512G,LTE 음성 12.1,12100,1870000,55000,0,55000,1815000
2025-03-21,2025-07-22 20:02:19,KT,애플,기기변경,LTE,iPhone 14 Pro Max 256G,LTE 음성 12.1,12100,1562000,55000,0,55000,1507000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 Pro Max 128G,LTE 음성 12.1,12100,1419000,55000,0,55000,1364000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 512G,LTE 음성 12.1,12100,1364000,55000,0,55000,1309000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 256G,LTE 음성 12.1,12100,1067000,55000,0,55000,1012000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 128G,LTE 음성 12.1,12100,913000,55000,0,55000,858000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 Plus 512G,LTE 음성 12.1,12100,1463000,55000,0,55000,1408000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 Plus 256G,LTE 음성 12.1,12100,1166000,55000,0,55000,1111000
2025-03-21,2025-07-22 20:02:22,KT,애플,기기변경,LTE,iPhone 14 Plus 128G,LTE 음성 12.1,12100,1012000,55000,0,55000,957000
2025-02-08,2025-07-22 20:02:22,KT,삼성,기기변경,LTE,갤럭시 A24,LTE 음성 12.1,12100,396000,55000,0,55000,341000
2025-01-22,2025-07-22 20:02:22,KT,샤오미,기기변경,LTE,샤오미 레드미노트 14 Pro 5G 512GB,LTE 음성 12.1,12100,499400,55000,0,55000,444400
2025-01-22,2025-07-22 20:02:22,KT,샤오미,기기변경,LTE,샤오미 레드미노트 14 Pro 5G,LTE 음성 12.1,12100,399300,8000,0,8000,391300
2025-01-15,2025-07-22 20:02:22,KT,삼성,기기변경,LTE,갤럭시 Z Fold5 512GB,LTE 음성 12.1,12100,2018500,55000,0,55000,1963500
2025-01-15,2025-07-22 20:02:22,KT,삼성,기기변경,LTE,갤럭시 Z Fold5,LTE 음성 12.1,12100,1897500,55000,0,55000,1842500
2025-01-15,2025-07-22 20:02:26,KT,삼성,기기변경,LTE,갤럭시 Z Flip5 512GB,LTE 음성 12.1,12100,1421200,55000,0,55000,1366200
2025-01-15,2025-07-22 20:02:26,KT,삼성,기기변경,LTE,갤럭시 Z Flip5,LTE 음성 12.1,12100,1300200,55000,0,55000,1245200
2025-01-08,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 13 128G,LTE 음성 12.1,12100,748000,55000,0,55000,693000
2024-12-27,2025-07-22 20:02:26,KT,기타,기기변경,LTE,포차코 키즈폰,LTE 음성 12.1,12100,349800,8000,0,8000,341800
2024-11-20,2025-07-22 20:02:26,KT,기타,기기변경,LTE,모토로라 엣지 50 퓨전,LTE 음성 12.1,12100,349800,55000,0,55000,294800
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro 1T,LTE 음성 12.1,12100,2079000,55000,0,55000,2024000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro 512G,LTE 음성 12.1,12100,1771000,55000,0,55000,1716000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro 256G,LTE 음성 12.1,12100,1474000,55000,0,55000,1419000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro 128G,LTE 음성 12.1,12100,1320000,55000,0,55000,1265000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro Max 1T,LTE 음성 12.1,12100,2277000,55000,0,55000,2222000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro Max 512G,LTE 음성 12.1,12100,1980000,55000,0,55000,1925000
2024-11-01,2025-07-22 20:02:26,KT,애플,기기변경,LTE,iPhone 15 Pro Max 256G,LTE 음성 12.1,12100,1672000,55000,0,55000,1617000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 512G,LTE 음성 12.1,12100,1474000,55000,0,55000,1419000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 256G,LTE 음성 12.1,12100,1177000,55000,0,55000,1122000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 128G,LTE 음성 12.1,12100,1023000,55000,0,55000,968000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 Plus 512G,LTE 음성 12.1,12100,1573000,55000,0,55000,1518000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 Plus 256G,LTE 음성 12.1,12100,1276000,55000,0,55000,1221000
2024-11-01,2025-07-22 20:02:29,KT,애플,기기변경,LTE,iPhone 15 Plus 128G,LTE 음성 12.1,12100,1122000,55000,0,55000,1067000
2024-10-25,2025-07-22 20:02:29,KT,삼성,기기변경,LTE,갤럭시 Z Flip6 512GB,LTE 음성 12.1,12100,1643400,55000,0,55000,1588400
2024-10-25,2025-07-22 20:02:29,KT,삼성,기기변경,LTE,갤럭시 Z Flip6,LTE 음성 12.1,12100,1485000,55000,0,55000,1430000
2024-10-25,2025-07-22 20:02:29,KT,삼성,기기변경,LTE,갤럭시 Z Flip6 마루는강쥐 에디션,LTE 음성 12.1,12100,1507000,55000,0,55000,1452000
2024-10-18,2025-07-22 20:02:29,KT,샤오미,기기변경,LTE,샤오미 레드미 14C,LTE 음성 12.1,12100,199100,55000,0,55000,144100
2024-10-15,2025-07-22 20:02:29,KT,기타,기기변경,LTE,시나모롤 키즈폰,LTE 음성 12.1,12100,320100,30000,0,30000,290100
2024-08-08,2025-07-22 20:02:29,KT,삼성,기기변경,LTE,갤럭시 Z Fold6 1TB,LTE 음성 12.1,12100,2704900,55000,0,55000,2649900
2024-08-08,2025-07-22 20:02:32,KT,삼성,기기변경,LTE,갤럭시 Z Fold6 512GB,LTE 음성 12.1,12100,2388100,55000,0,55000,2333100
2024-08-08,2025-07-22 20:02:32,KT,삼성,기기변경,LTE,갤럭시 Z Fold6,LTE 음성 12.1,12100,2229700,55000,0,55000,2174700
2024-08-08,2025-07-22 20:02:32,KT,삼성,기기변경,LTE,갤럭시 Jump3,LTE 음성 12.1,12100,438900,1000,0,1000,437900
2024-07-01,2025-07-22 20:02:32,KT,샤오미,기기변경,LTE,샤오미 레드미노트 12,LTE 음성 12.1,12100,249700,55000,0,55000,194700
2024-06-21,2025-07-22 20:02:32,KT,샤오미,기기변경,LTE,샤오미 레드미노트 13 Pro 5G,LTE 음성 12.1,12100,349800,8000,0,8000,341800
2024-06-21,2025-07-22 20:02:32,KT,샤오미,기기변경,LTE,샤오미 레드미노트 13 Pro 5G 512GB,LTE 음성 12.1,12100,399300,8000,0,8000,391300
2022-12-09,2025-07-22 20:02:32,KT,기타,기기변경,LTE,스타일 폴더,LTE 음성 12.1,12100,237600,39000,0,39000,198600
